Position,SMILES
V10,C
V15,N
V19,O
V24,F
V38,Cl
V44,Br
V47,I
V144a,C1CCCC1
V144b,C1CC=CC1
V144c,C1C=CC=C1
V146a,C1CCNC1
V146b,C1CC=CN1
V146c,c1cc[nH]c1
V179a,C1CCCCC1
V179b,C1CCC=CC1
V179c,C1CC=CC=C1
V179d,c1ccccc1
V181a,C1CCNCC1
V181b,c1ccncc1
V249,c1ccc2ccccc2c1
V284,C-H
V285,C-C
V286,C-N
V287,C-O
V288,C-F
V295,C-Cl
V299,C-I
V300,N-H
V301,N-N
V302,N-O
V309,O-H
V333,C(C)(C)
V334,C(C)(C)(C)
V335,C(C)(C)(C)(C)
V336,C(C)(C)(C)(H)
V337,C(C)(C)(C)(N)
V338,C(C)(C)(C)(O)
V339,C(C)(C)(H)(N)
V340,C(C)(C)(H)(O)
V341,C(C)(C)(N)
V342,C(C)(C)(O)
V343,C(C)(Cl)
V344,C(C)(Cl)(H)
V345,C(C)(H)
V346,C(C)(H)(N)
V347,C(C)(H)(O)
V348,C(C)(H)(O)(O)
V351,C(C)(I)
V352,C(C)(N)
V353,C(C)(O)
V356,C(C)(:C)
V357,C(C)(:C)(:C)
V358,C(C)(:C)(:N)
V359,C(C)(:N)
V360,C(C)(:N)(:N)
V362,C(Cl)(H)
V363,C(Cl)(:C)
V364,C(F)(F)
V365,C(F)(:C)
V366,C(H)(N)
V367,C(H)(O)
V368,C(H)(O)(O)
V371,C(H)(:C)
V372,C(H)(:C)(:C)
V373,C(H)(:C)(:N)
V374,C(H)(:N)
V375,C(H)(H)(H)
V376,C(N)(N)
V377,C(N)(:C)
V378,C(N)(:C)(:C)
V379,C(N)(:C)(:N)
V380,C(N)(:N)
V381,C(O)(O)
V382,C(O)(:C)
V383,C(O)(:C)(:C)
V385,C(:C)(:C)
V386,C(:C)(:C)(:C)
V387,C(:C)(:C)(:N)
V388,C(:C)(:N)
V389,C(:C)(:N)(:N)
V390,C(:N)(:N)
V391,N(C)(C)
V392,N(C)(C)(C)
V393,N(C)(C)(H)
V394,N(C)(H)
V395,N(C)(H)(N)
V396,N(C)(O)
V397,N(C)(:C)
V398,N(C)(:C)(:C)
V399,N(H)(N)
V400,N(H)(:C)
V401,N(H)(:C)(:C)
V402,N(O)(O)
V404,N(:C)(:C)
V406,O(C)(C)
V407,O(C)(H)
V417,C=C
V418,C#C
V419,C=N
V420,C#N
V421,C=O
V423,N=N
V424,N=O
V428,C(#C)(-C)
V430,C(#N)(-C)
V431,C(-C)(-C)(=C)
V432,C(-C)(-C)(=N)
V433,C(-C)(-C)(=O)
V435,C(-C)(-H)(=C)
V436,C(-C)(-H)(=N)
V437,C(-C)(-H)(=O)
V438,C(-C)(-N)(=C)
V439,C(-C)(-N)(=N)
V440,C(-C)(-N)(=O)
V441,C(-C)(-O)(=O)
V442,C(-C)(=C)
V443,C(-C)(=N)
V444,C(-C)(=O)
V446,C(-H)(-N)(=C)
V447,C(-H)(=C)
V448,C(-H)(=N)
V449,C(-H)(=O)
V450,C(-N)(=C)
V451,C(-N)(=N)
V452,C(-N)(=O)
V453,C(-O)(=O)
V454,N(-C)(=C)
V455,N(-C)(=O)
V456,N(-O)(=O)
V462,O-C-C=N
V463,O-C-C=O
V465,N-C-C=C
V468,C=N-N-C
V471,C:C-C=C
V473,C:N:C-C
V477,C-O-C=C
V478,N-N-C:C
V483,C:N-C:C
V485,N-C:N:C
V486,N:C:C:N
V487,N-C:N:N
V488,N-C=N-C
V489,N-C=N-[#1]
V491,C-C-C=C
V492,C-N:C-[#1]
V494,O=C-C:C
V495,O=C-C:N
V496,C-N-C:C
V497,N:N-C-[#1]
V498,O-C:C:N
V499,O-C=C-C
V500,N-C:C:N
V502,Cl-C:C-C
V503,N-C=C-[#1]
V504,Cl-C:C-[#1]
V505,N:C:N-C
V506,Cl-C:C-O
V507,C-C:N:C
V515,O-N-C-C
V516,N-N-C-C
V517,[#1]-C=C-[#1]
V518,N-N-C-N
V519,O=C-N-N
V520,N=C-N-C
V521,C=C-C:C
