add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
Cl-C:C-O-C,C,COCC(C)Cl,COCC(C)(Cl)C(N)NN,COCC(C)(Cl)C(N)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NN,COCC(C)(Cl)C(N)N(N)COC(=O)NCC(=O)O,COCC(C)(Cl)C(N)N(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(Cl)(COCCOC(=O)NC(CCC(=O)O)C(=O)O)C(N)NN,2.8449649506666668,3.147676010158333,3.178719992756818,2.7645457756200003
Cl-C:C-O-C,C,COCC(C)Cl,COC(C(=O)CN)C(C)Cl,COC(C(=O)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)Cl,COC(C(=O)CN)C(Cl)CCOC(=O)NCC(=O)O,COC(C(=O)CN)C(C)(Cl)COC(=O)NC(CCCNC(=N)N)C(=O)O,COC(C(=O)CNCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)Cl,3.665102164895001,2.712438466933334,2.9100174594722223,2.735989554465
N-C-C-N-C,C,CNCC(C)N,CNC(O)C(C)N,CNC(O)C(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(O)C(N)CCOC(=O)NCC(=O)O,CNC(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)N,CNC(O)C(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.04091659525,2.6849715607866664,3.2634202578433333,2.3294465493866667
N-C-C-N-C,C,CNCC(C)N,CNC(Cl)C(C)N,CNC(Cl)C(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(Cl)(COC(=O)NCC(=O)O)C(C)N,CNC(Cl)C(C)(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(Cl)(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N,2.765640063976667,2.5077999999999996,2.749159687295707,2.6720666660583334
O=C-C-C-O,COCC(C)Cl,COCC(Cl)COCCC=O,COCC(Cl)(COCCC=O)NCCCO,COCC(Cl)(COC(CC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCCCO,COCC(Cl)(COCCC=O)NC(CCO)COC(=O)NCC(=O)O,COCC(Cl)(COC(CC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)NCCCO,COCC(Cl)(NCCCO)C(COC(=O)NC(CCC(=O)O)C(=O)O)OCCC=O,3.631475258345,3.5537386230907146,3.828456786845,3.1681884009533334
O=C-C-C-O,COCC(C)Cl,COCC(Cl)COCCC=O,NC1=CC(Cl)=CC(COCC(Cl)COCCC=O)=C1,NC1=CC(Cl)=CC(COCC(Cl)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)OCCC=O)=C1,NC1=CC(Cl)=CC(C(COC(=O)NCC(=O)O)OCC(Cl)COCCC=O)=C1,N=C(N)NCCCC(NC(=O)OCC(OCCC=O)C(Cl)COCC1=CC(N)=CC(Cl)=C1)C(=O)O,NC1=CC(Cl)=CC(COCC(Cl)COCCC(=O)COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.9346258089450004,3.465044323765001,3.2020139615699996,2.7226719907616665
O-C-C-C-C-C-O,COCC(C)Cl,COCC(Cl)CC(CCO)CCO,CNCN(C)C(Cl)(COC)CC(CCO)CCO,CNCN(C)C(Cl)(COC)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CCO)CCO,CNCN(C)C(Cl)(CC(CCO)CCO)C(COC(=O)NCC(=O)O)OC,CNCN(C)C(Cl)(COC)CC(CCO)(CCO)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCN(C)C(Cl)(COC)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(CCO)CCO,3.468445487145,3.70359631942,3.342031356923333,3.44527062642
O-C-C-C-C-C-O,COCC(C)Cl,COCC(Cl)CC(CCO)CCO,COCC(Cl)C(C(CO)CCCO)C(CCO)CCO,COCC(Cl)C(C(CO)CCCO)C(CCO)CCOCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COCC(Cl)C(C(CO)CCCO)C(CCO)CCOCOC(=O)NCC(=O)O,COCC(Cl)C(C(CO)CCCOCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CCO)CCO,COCC(Cl)C(C(CO)CCCO)C(CCO)(CCO)COC(=O)NC(CCC(=O)O)C(=O)O,3.750267272646666,3.4636191708876622,3.411231250080769,3.525357983280769
Cc1c(Cl)cccc1,COCC(Cl)COCCCCCO,COCC(Cl)COCCCCC(O)C1=CC(C)=C(Cl)C=C1,COCC(Cl)COCCCCC(O)C1=C(C2=CCCC2)C(C)=C(Cl)C=C1,COCC(Cl)COCCCCC(O)C1=C(C2=C(COC(=O)NC(C(=O)O)C3=CC=CC=C3)CCC2)C(C)=C(Cl)C=C1,COCC(Cl)COCCCCC(O)C1=C(C2=C(COC(=O)NCC(=O)O)CCC2)C(C)=C(Cl)C=C1,COCC(Cl)COCCCCC(O)C1=C(C2=CCCC2)C(C)=C(Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,COCC(Cl)COCCCCC(O)C1=C(C2=CCCC2)C(CCOC(=O)NC(CCC(=O)O)C(=O)O)=C(Cl)C=C1,4.223564060148571,4.044235600486667,3.371687301803333,3.5275868092033336
Cc1c(Cl)cccc1,COCC(Cl)COCCCCCO,COCC(Cl)COCCCCC(O)C1=CC(C)=C(Cl)C=C1,COCC(Cl)(COCCCCC(O)C1=CC(C)=C(Cl)C=C1)C1(O)CCC(O)CC1,COCC(Cl)(COCCCCC(O)C1=CC(C)=C(Cl)C=C1)C1(O)CCC(O)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,COCC(Cl)(COCCCCC(O)C1=CC(C)=C(Cl)C=C1COC(=O)NCC(=O)O)C1(O)CCC(O)CC1,COCC(Cl)(COCCCCC(O)C1=CC(C)=C(Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1)C1(O)CCC(O)CC1,COCC(Cl)(COCC(CCC(O)C1=CC(C)=C(Cl)C=C1)COC(=O)NC(CCC(=O)O)C(=O)O)C1(O)CCC(O)CC1,3.5411776783,3.7862291912644452,2.6567428161319047,2.770978525872222
