SMILES_added,SMILES_got
C(H)(:C)(:N),[H]C(C)NC
C(H)(:C),[H]C(C)CC([H])NC
C-C-N-C-C,[H]C(C)CC([H])(CCNCC)NC
O-C-C-N-C,[H]C(CCNCCO)CC([H])(CCNCC)NC
N=O,[H]C(CCNCCO)CC([H])(CCNCCN=O)NC
N-C:C:C-N,[H]C(CCNCC(O)NCCCN)CC([H])(CCNCCN=O)NC
N(H)(:C)(:C),[H]C(CCNCC(O)NC(CCN)CN([H])C)CC([H])(CCNCCN=O)NC
N(C)(:C),[H]C(CCNCC(O)NC(CCN)CN([H])C)C(N(C)C)C([H])(CCNCCN=O)NC
O=C-C-C-N,[H]C(CCNCC(O)NC(CCN)CN([H])C)C(N(C)C)C([H])(CCNC(CN=O)C(=O)CCN)NC
Cl-C:C:C-C,[H]C(CCNCC(O)NC(CCN)CN([H])C)C(N(C)CC(Cl)CCC)C([H])(CCNC(CN=O)C(=O)CCN)NC
