add_SMILES,starting_SMILES 5,starting_SMILES 4,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)C)C1(C)CCC(Cl)CC1,C=C(CC)C1CC(C)(C(CC(C)C)C(=C)COC)CCC1Cl,[H]NNC(OC)C(=C)C(CC(C)C)C1(C)CCC(Cl)C(C(=C)CC)C1,[H]NNC(OC)C(=C)C(CC(C)C)C1(C)CCC(Cl)(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C(=C)CC)C1,[H]NNC(OC)C(=C)C(CC(C)C)C1(CCOC(=O)NCC(=O)O)CCC(Cl)C(C(=C)CC)C1,[H]NNC(OC)C(=C)C(CC(C)(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)C1(C)CCC(Cl)C(C(=C)CC)C1,[H]NNC(OC)C(=C)C(CC(C)C)C1(C)CCC(Cl)C(C(=CCOC(=O)NC(CCC(=O)O)C(=O)O)CC)C1,4.314686500676785,4.250975138915119,4.5620446274874995,4.2483741393125
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)C)C1(C)CCC(Cl)CC1,C=C(CC)C1CC(C)(C(CC(C)C)C(=C)COC)CCC1Cl,C=C(CC)C1CC(C)(C(C(=C)COC)C(C(C)C)C(N)CC)CCC1Cl,C=C(CC)C1CC(C)(C(C(=C)COC)C(C(C)C)C(N)C(C)COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC1Cl,C=C(CC)C1CC(C)(C(C(=C)COC)C(COC(=O)NCC(=O)O)(C(C)C)C(N)CC)CCC1Cl,C=C(COC)C(C(C(C)C)C(N)CC)C1(C)CCC(Cl)C(C(=CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC)C1,C=C(CC)C1CC(C)(C(C(=C)COC)C(C(C)C)C(N)(CC)COC(=O)NC(CCC(=O)O)C(=O)O)CCC1Cl,4.259391103942858,4.154997431844286,4.233701842650953,4.1970714616928575
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)C)C1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)CC1,C=C(COCC1=C(Cl)C=C(Cl)C=C1)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)CC1,C=C(C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)OCC1=C(Cl)C=C(Cl)C=C1)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)CC1,C=C(COCC1=C(Cl)C=C(Cl)C=C1)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)C(COC(=O)NCC(=O)O)C1,C=C(COCC1=C(Cl)C=C(Cl)C=C1)C(CC(C)CC(NCC)NCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1(C)CCC(Cl)CC1,C=C(COCC1=C(Cl)C=C(Cl)C(COC(=O)NC(CCC(=O)O)C(=O)O)=C1)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)CC1,4.289463099042857,4.4903258458,4.445135894128572,4.324338254790693
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)C)C1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)CC1,C=C(COC)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)(CC(C)=O)CC1,C=C(COC)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)(C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)=O)CC1,C=C(COC)C(CC(C)CC(N)NCC)C1(C)CCC(Cl)(CC(C)=O)C(COC(=O)NCC(=O)O)C1,CCNC(N)CC(C)CC(C(=CCOC(=O)NC(CCCNC(=N)N)C(=O)O)COC)C1(C)CCC(Cl)(CC(C)=O)CC1,C=C(COC)C(C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)CC(N)NCC)C1(C)CCC(Cl)(CC(C)=O)CC1,4.260138207164286,4.323638207164286,3.776514914632499,3.7421268395575
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COCC(C)CCCC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COCC(CCCC)CC(=C)C)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CCCC)CC(=C)C)CC1(C)CCC(Cl)CC1,C=C(C)CC(CCCC)COCC(=CCC(C)=CCOC(=O)NCC(=O)O)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COCC(CCCC)CC(=C)C)CC1(C)CCC(Cl)CC1COC(=O)NC(CCCNC(=N)N)C(=O)O,C=C(C)CC(CCCC)COCC(=CCC(C)=CCOC(=O)NC(CCC(=O)O)C(=O)O)CC1(C)CCC(Cl)CC1,4.160073931142856,4.552457694401785,4.196988826484286,3.6574906743428572
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COCC(C)CCCC)CC1(C)CCC(Cl)CC1,CCCCC(C)COCC(=CCC(C)=CN(C)NCC)CC1(C)CCC(Cl)CC1,CCCCC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)COCC(=CCC(C)=CN(C)NCC)CC1(C)CCC(Cl)CC1,CCCCC(C)COCC(=CCC(C)=CN(C)NCC)C(COC(=O)NCC(=O)O)C1(C)CCC(Cl)CC1,CCNN(C)C=C(C)CC=C(COCC(C)CCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1(C)CCC(Cl)CC1,CCCCC(C)COCC(=CCC(C)=CN(C)NCCCOC(=O)NC(CCC(=O)O)C(=O)O)CC1(C)CCC(Cl)CC1,4.755091865964286,4.697445963437499,4.347189736362857,4.497570595280358
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)C(NCC=O)C1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)C(N(CC=O)C1=C(O)C=CC(C)=C1)C1(C)CCC(Cl)CC1,COCC(=CCC(C)=CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(N(CC=O)C1=C(O)C=CC(C)=C1)C1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)C(N(CC=O)C1=C(O)C=CC(C)=C1)C1(CCOC(=O)NCC(=O)O)CCC(Cl)CC1,C=C(C)CC=C(COC)C(N(CC=O)C1=C(O)C=CC(C)=C1)C1(C)CCC(Cl)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1,C=C(C)CC=C(C(COC(=O)NC(CCC(=O)O)C(=O)O)OC)C(N(CC=O)C1=C(O)C=CC(C)=C1)C1(C)CCC(Cl)CC1,4.100421596028571,3.964128848119999,3.4730465706093936,3.56120015228106
C-O-C-C=C,C,C=C(C)COC,C=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)CC1(C)CCC(Cl)CC1,C=C(C)CC=C(COC)C(NCC=O)C1(C)CCC(Cl)CC1,C=C(C)CC=C(C(CC(C)(C)CC)OC)C(NCC=O)C1(C)CCC(Cl)CC1,C=C(C)CC=C(C(CC(C)(C)CC)OC)C(NCC=O)C1(C)CCC(Cl)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,C=C(C)CC=C(C(CC(C)(C)CC)OC)C(NCC=O)C1(CCOC(=O)NCC(=O)O)CCC(Cl)CC1,C=C(C)CC=C(C(CC(C)(C)CC)OC)C(NCC=O)C1(C)CCC(Cl)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1,C=C(C)CC(COC(=O)NC(CCC(=O)O)C(=O)O)=C(C(CC(C)(C)CC)OC)C(NCC=O)C1(C)CCC(Cl)CC1,4.677148189918571,4.244225436750953,3.977411520615238,3.5664853946096313
C-O-C-C=C,C,C=C(C)COC,C=C(C)COCN=N,[H]N(C)CC(OCN=N)C(=C)C,[H]N(C)C(OC1=CC=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(CBr)C(OC1=CC=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(CBr)C(OC1=CC=C(O)C=C1)C(OC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N=N)C(=C)C,[H]N(CBr)C(OC1=C(COC(=O)NCC(=O)O)C=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(CBr)C(OC1=CC=C(O)C=C1)C(OCN=N)C(C)=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(CBr)C(OC1=C(COC(=O)NC(CCC(=O)O)C(=O)O)C=C(O)C=C1)C(OCN=N)C(=C)C,3.356476631625,3.4752747073500005,2.7763879960683333,2.7942883170083332
C-O-C-C=C,C,C=C(C)COC,C=C(C)COCN=N,[H]N(C)CC(OCN=N)C(=C)C,[H]N(C)C(OC1=CC=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(C)C(NC(C)N)(OC1=CC=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(C)C(NC(C)N)(OC1=CC=C(OCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C=C1)C(OCN=N)C(=C)C,[H]N(C)C(NC(C)N)(OC1=CC(COC(=O)NCC(=O)O)=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(C)C(NC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O)(OC1=CC=C(O)C=C1)C(OCN=N)C(=C)C,[H]N(C)C(NC(C)N)(OC1=C(COC(=O)NC(CCC(=O)O)C(=O)O)C=C(O)C=C1)C(OCN=N)C(=C)C,3.6771448469927273,3.5908038358,3.732101756120001,3.18440290139
