add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-C)(=C),C,C=C(C)C,CC(C)=CCN=CN,CC(C)=CC(N=CN)NC=O,CC(C)=CC(N=C(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)NC=O,CC(C)=CC(N=CN)NC(=O)COC(=O)NCC(=O)O,CC(C)=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N=CN)NC=O,CC(=CC(N=CN)NC=O)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.196059052245,2.7062365567166666,2.613847676941666,2.8491167037833334
C(-C)(=C),C,C=C(C)C,CC(C)=CCN=CN,CC(C)=CCN=CNC(C)=CO,CC(C)=CCN=CNC(C)=COCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)=CC(COC(=O)NCC(=O)O)N=CNC(C)=CO,CC(=CO)NC=NCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C(C)C,CC(C)=CCN=CN(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)=CO,2.7693605525200002,3.1219602054357143,2.5186072522583336,2.3426904093750003
C(-C)(=C),C,C=C(C)C,CC(C)=CCN=CN,CCCC(=O)C(C=C(C)C)N=CN,CC(C)=CC(N=CN)C(=O)CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(=O)C(C=C(C)CCOC(=O)NCC(=O)O)N=CN,CCCC(=O)C(C=C(C)C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)N=CN,CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C(=O)C(C=C(C)C)N=CN,3.0999210215199997,3.3516065510099997,3.2133232706599997,2.8803217319099996
C(-C)(=C),C,C=C(C)C,CC(C)=CNNCN,CC(C)=CNNCNN(C)C=N,CC(C)=CN(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCNN(C)C=N,CC(C)=CNNCNN(C=N)CCOC(=O)NCC(=O)O,CC(=CNNCNN(C)C=N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)=CNN(CNN(C)C=N)COC(=O)NC(CCC(=O)O)C(=O)O,3.36738491958,2.5957276393999997,2.8889492352183335,2.6916140884249997
C(-C)(=C),C,C=C(C)C,CC(C)=CNNCN,C=CCC(C)C(N)NNC=C(C)C,C=CCC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(N)NNC=C(C)C,C=CCC(C)C(N)NNC(COC(=O)NCC(=O)O)=C(C)C,C=CCC(C)C(N)NNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C(C)C,C=CCC(C)C(N)NN(C=C(C)C)COC(=O)NC(CCC(=O)O)C(=O)O,3.7375149283666667,2.964239615685714,3.473566493675,2.38099246412
C(-C)(=C),C,C=C(C)C,CC(C)=CNNCN,CCCC(C)C(N)NNC=C(C)C,CCCC(C)C(N)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NNC=C(C)C,CCC(COC(=O)NCC(=O)O)C(C)C(N)NNC=C(C)C,CCCC(C)C(N)NNC=C(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(C)C(N)N(COC(=O)NC(CCC(=O)O)C(=O)O)NC=C(C)C,3.360731136806667,2.9135413865357145,2.711482106519048,2.7238427694
C(-C)(=C),C,C=C(C)C,CC(C)=CC(=O)CC=O,CC(C)=C(C(=O)CC=O)C(C=O)=CN,CC(C)=C(C(=O)CC=O)C(C=O)=CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)=C(C(=O)CC=O)C(C=O)=C(N)COC(=O)NCC(=O)O,CC(C)=C(C(=O)CC=O)C(C=O)=CNCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCOC(=O)NC(CCC(=O)O)C(=O)O)=C(C(=O)CC=O)C(C=O)=CN,3.031207480445,2.2316737427083333,2.516850041443333,2.7580598304999997
C(-C)(=C),C,C=C(C)C,CC(C)=CC(=O)CC=O,CCOCC(=O)CC(=O)C=C(C)C,CCOCC(=O)CC(=O)C=C(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOCC(=O)CC(=O)C=C(C)CCOC(=O)NCC(=O)O,CCOCC(=O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)C=C(C)C,CCOC(COC(=O)NC(CCC(=O)O)C(=O)O)C(=O)CC(=O)C=C(C)C,3.331556417095,2.98250727303,2.5861803651349997,3.185091036641667
C(-C)(=C),C,C=C(C)C,CC(C)=CC(=O)CC=O,CNCC(C)C(C(=O)CC=O)=C(C)C,CNCC(C)C(C(=O)CC=O)=C(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCC(C)(COC(=O)NCC(=O)O)C(C(=O)CC=O)=C(C)C,CNCC(C)C(C(=O)CC=O)=C(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)C(C(=O)CC=O)=C(C)C,3.0588906832916662,3.272181510187381,2.992806885745714,3.1905286491350004
O-C:C:N,C,CC(N)CO,C=C(C=O)OCC(C)N,C=C(C=O)OCC(C)(N)C(=O)CCN,C=C(C=O)OCC(C)(N)C(=O)CC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(C=O)OC(COC(=O)NCC(=O)O)C(C)(N)C(=O)CCN,C=C(OCC(C)(N)C(=O)CCN)C(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)(COC(C=O)=CCOC(=O)NC(CCC(=O)O)C(=O)O)C(=O)CCN,2.536,3.162838693375,2.6819098437499997,2.4549835864583334
