add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C:C:C:N,C,CC(N)CCN,NA,NCCC(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)(CCN)COC(=O)NCC(=O)O,CC(N)(CCN)COC(=O)NC(CCCNC(=N)N)C(=O)O,NCCC(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.1944339839366664,2.4856442904166665,2.5323057436916665,2.8901210097450005
C(C)(H)(O),C,[H]C(O)CC,NA,[H]C(CC)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(CC)OCOC(=O)NCC(=O)O,[H]C(O)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(O)(CC)COC(=O)NC(CCC(=O)O)C(=O)O,2.25122681794,2.461345437795,2.3676749886,2.4976411270249996
Cl-C:C-C=O,C,CC(C=O)CCl,NA,CC(C=O)(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C=O)(CCl)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(C=O)CCl)C(=O)O,O=CC(CCl)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.3453048941200003,2.6737598362250004,2.6566701769333334,2.6983720287666673
O=C-C:C-N,C,CNCCC=O,NA,CNCC(C=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=CCCNCCOC(=O)NCC(=O)O,CNCCC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCCC(=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.809032056486667,2.9148830335116664,2.4266208392083337,2.587157793691667
O-C-C-C-C-C-C-C,C,CCC(C)CCCCO,NA,CCC(C)CC(CCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCCCO)CCCOC(=O)NCC(=O)O,CCC(C)C(CCCO)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCCCO)C(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.7335011355466667,2.106814063486905,3.127522202925,2.718679197908333
Br,C,CBr,NA,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCBr,O=C(O)CNC(=O)OCCBr,N=C(N)NCCCC(NC(=O)OCCBr)C(=O)O,O=C(O)CCC(NC(=O)OCCBr)C(=O)O,2.6397703456999997,1.5216323160333334,2.8091744603583337,1.9126166666666662
C(H)(:C),C,[H]C(C)C,NA,[H]C(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)CCOC(=O)NCC(=O)O,[H]C(C)(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.587077314453333,2.3029152969666664,2.510627507926667,2.142688227453333
O=C-C-C-C-C,C,CCCC(C)C=O,NA,CCCC(C)C(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C=O)CCCCOC(=O)NCC(=O)O,CCCC(C)C(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C=O)CC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.10037477486,2.6987513536916667,2.7516655741916667,2.411270853175
c1cc[nH]c1,C,CC1=CC=CN1,NA,CC1=CC=CN1COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCC1=CC=CN1,N=C(N)NCCCC(NC(=O)OCCC1=CC=CN1)C(=O)O,CC1=CC=C(COC(=O)NC(CCC(=O)O)C(=O)O)N1,2.4391262444818187,2.389491906486667,2.4447249886,2.7971747059583336
Oc1cc(N)ccc1,C,CC1=CC(O)=CC(N)=C1,NA,CC1=CC(O)=CC(N)=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1=C(COC(=O)NCC(=O)O)C(O)=CC(N)=C1,CC1=CC(O)=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)=C1,NC1=CC(CCOC(=O)NC(CCC(=O)O)C(=O)O)=CC(O)=C1,3.1278902792568184,2.513585968483333,2.3034247543633333,2.4415749886
