add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N:C-C:C,C,CCCCN,CCCC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(CN)COC(=O)NCC(=O)O,CC(CCN)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(N)COC(=O)NC(CCC(=O)O)C(=O)O,3.164823431416667,2.598088169366666,2.2359390770250007,2.6972475126366664
C-N-C:C,C,CNC(C)C,CC(C)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)N(C)COC(=O)NCC(=O)O,CC(C)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.0003888521916666,2.7972187047383335,3.087955065243333,2.852638695433334
N=C-N-C-C,C,CCNC(C)=N,CC(=N)NC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNC(C)=NCOC(=O)NCC(=O)O,CC(=N)NCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCNC(C)=NCOC(=O)NC(CCC(=O)O)C(=O)O,2.9718585675333338,2.197527624986667,2.240834297801667,2.54149061262
O-C-C-C:C,C,CCCC(C)O,CCCC(C)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(O)CC(C)COC(=O)NCC(=O)O,CC(O)CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(C)(O)COC(=O)NC(CCC(=O)O)C(=O)O,3.26375727303,2.7105265028916667,2.488805743691667,2.39375676475
O-C-O-C,C,COC(C)O,CC(O)OCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COC(O)CCOC(=O)NCC(=O)O,COC(C)OCOC(=O)NC(CCCNC(=N)N)C(=O)O,COC(C)(O)COC(=O)NC(CCC(=O)O)C(=O)O,2.7065931695583334,2.2249941261816666,2.5735190518333333,2.5033083219333334
O=C-C-C-C-C-C-C,C,CCCC(C)CCC=O,CCCC(CCC=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(C)CCC(=O)COC(=O)NCC(=O)O,CCCC(C)(CCC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCC=O)CCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.87506243125,2.976101460828571,3.194443216785,2.3525724103583334
C(C)(C)(O),C,CCC(C)O,CC(O)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(O)CCCOC(=O)NCC(=O)O,CC(O)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(O)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.20827168167,2.7095166666666666,2.6825800538433335,2.77697988272
C(C)(:C)(:C),C,CCC(C)C,CCC(C)(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(C)CCOC(=O)NCC(=O)O,CCC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.9272831309188887,2.7457851081449993,3.0428140170083333,3.1773900980833334
O=C-C-C=O,C,CC(=O)CC=O,CC(=O)CC(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=CCC(=O)CCOC(=O)NCC(=O)O,CC(=O)C(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=O)CC(=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.0423887125333335,2.3273548941200004,2.495248731308334,2.54380489412
C-C-C:C-C,C,CCCCCC,CCCCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(CC)COC(=O)NCC(=O)O,CCCC(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.80498228443,2.9417060562449997,2.9302724103583335,2.4931439541322225
O(C)(H),C,[H]O(C)C,[H]O(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]O(C)CCOC(=O)NCC(=O)O,[H]O(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]O(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,NA,NA,NA,NA
Cl-C:C:C-C,C,CCCCCCl,CC(CCCCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCC(Cl)COC(=O)NCC(=O)O,CC(CCCCl)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCCCl)COC(=O)NC(CCC(=O)O)C(=O)O,3.0679082733166667,2.7090258140500003,2.0734160228305556,2.380535378013889
O=C-C-C-C-N,C,CC(=O)CCCN,CC(=O)CCCNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,NCCCC(=O)CCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(=O)CCCN)C(=O)O,NCCCC(=O)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.985316600975,2.466593063486667,2.221450636775,2.6439416552666666
C(-C)(-C)(=C),C,C=C(C)CC,C=C(C)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(C)CCCOC(=O)NCC(=O)O,C=C(C)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(C)=CCOC(=O)NC(CCC(=O)O)C(=O)O,3.293215198325,2.320262832910909,2.892691655266667,2.571298358235152
C(Cl)(H),C,[H]C(C)Cl,[H]C(C)(Cl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(Cl)CCOC(=O)NCC(=O)O,[H]C(Cl)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.4105048941200002,2.7003497073866667,2.4477749886,2.433988227453333
